name,employer_name,salary,salary_currency,area_name,published_at
Инженер - программист (начинающий специалист),"Терра, Управляющая компания",75000,RUR,Краснодар,2024-01-19T11:46:20+0300
Python-разработчик (Инженер-программист),"Моринформсистема-Агат, Концерн",90000,RUR,Москва,2024-01-19T17:33:40+0300
Начинающий инженер-программист,ГК БИТ,61700,RUR,Уфа,2024-01-19T07:11:43+0300
Ученик программиста станков с ЧПУ,ПК БРАСК,70000,RUR,Санкт-Петербург,2024-01-20T12:50:56+0300
Инженер-программист C#,ИТЛаб,150000,RUR,Москва,2024-01-19T13:23:57+0300
Web-разработчик (Инженер-программист),"Моринформсистема-Агат, Концерн",120000,RUR,Москва,2024-01-19T17:33:39+0300
Инженер-разработчик ПЛИС (RTL/FPGA),Райтек,350000,RUR,Москва,2024-01-19T18:21:06+0300
Помощник системного администратора/IT инженер,Самара Секьюрити Сервис,49000,RUR,Самара,2024-01-19T17:57:42+0300
Инженер-программист,Кингисеппский Машиностроительный завод,20000,RUR,Санкт-Петербург,2024-01-19T08:36:45+0300
Инженер разработчик РЭА для АСУ ТП,Diamond Personnel R&C,50000,RUR,Москва,2024-01-19T12:48:34+0300
Оператор станков с ЧПУ,Цифродент,50000,RUR,Москва,2024-01-20T10:06:53+0300
IT-инженер сети магазинов,Обермейстер,10000,RUR,Владикавказ,2024-01-19T17:07:45+0300
Инженер-программист,Жабинковский комбикормовый завод,2000,BYR,Брест,2024-01-19T17:12:57+0300
"Ведущий инженер-программист (C++, Системное ПО)","Моринформсистема-Агат, Концерн",230000,RUR,Москва,2024-01-19T17:33:38+0300
Инженер-программист (Системный программист),Страна карт,85000,RUR,Киров (Кировская область),2024-01-19T08:29:36+0300
